title,authors,description
Harry Potter and the Sorcerer's Stone,J.K. Rowling,A young boy discovers he is a wizard and attends a magical school.
Harry Potter and the Chamber of Secrets,J.K. Rowling,The second year at the magical school with new challenges for the young wizard.
The Hobbit,J.R.R. Tolkien,A hobbit embarks on a journey with dwarves to reclaim treasure guarded by a dragon.
The Lord of the Rings: Fellowship of the Ring,J.R.R. Tolkien,The quest to destroy a powerful ring with the fellowship across Middle-earth.
The Silmarillion,J.R.R. Tolkien,A collection of mythopoeic stories about the history of Middle-earth.
Pride and Prejudice,Jane Austen,"A classic romance that explores manners, marriage, and morality in 19th-century England."
Sense and Sensibility,Jane Austen,"A story of love, romance, and societal expectations in England."
Emma,Jane Austen,A tale of a young woman navigating love and society in England.
To Kill a Mockingbird,Harper Lee,A story of racial injustice and childhood in the Deep South.
Go Set a Watchman,Harper Lee,The continuation of the story of Scout and her life in the South.
1984,George Orwell,A dystopian society under constant surveillance by a totalitarian regime.
Animal Farm,George Orwell,An allegorical novella reflecting events leading up to the Russian Revolution.
Brave New World,Aldous Huxley,A dystopian society where technology controls society and individuality is lost.
Fahrenheit 451,Ray Bradbury,"A society where books are banned, and firemen burn any that are found."
The Catcher in the Rye,J.D. Salinger,A young man narrates his experiences in New York after being expelled from school.
Great Expectations,Charles Dickens,The growth and personal development of an orphan named Pip.
Oliver Twist,Charles Dickens,The adventures of an orphan in the underworld of London.
Moby Dick,Herman Melville,A sailor's obsessive quest for revenge on a giant whale.
The Old Man and The Sea,Ernest Hemingway,An aging fisherman struggles with a giant marlin far out in the Gulf Stream.
The Great Gatsby,F. Scott Fitzgerald,A mysterious millionaire's passion and obsession in 1920s America.
